class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_place_of_publication,has_version_permalink,contributor_value,subject_value,subject_label,has_part_value,based_on_value,catalog_identifier_value
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,identifier,http://id.sbn.it/bid/CFIE011325,,,,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9n42gMvHpXdx,(Cox 2020),,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2UUH2dSJC9jn,dialogue,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,title,,,,,,"Le scorse olimpiche. Trattamenti academici, del commend. conte Pietro Paolo Bissari prencipe dell'Academia olimpica. Libro primo",,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,inception,,,,,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,has_version,,,,,,,,1648.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",http://id.sbn.it/bid/CFIE011325,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,contributor,,,,,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,subject,,,,,,,,,,,,[[academy]],,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Q6FD2rU7f347,salon,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,subject,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Bn5ScQdZ4EM4,republic of letters,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,has_part,,,,,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,based_on,,,,,,,,,,,,,,,,
Book,Le scorse olimpiche,,,Le scorse olimpiche,Le scorse olimpiche.md,k7rYayxjMhLt,868826239689606095561,catalog_identifier,,,,,,,,,,,,,,,,
