class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publisher,has_version_publication_date,has_version_external_source,has_version_IIIF_manifest,has_version_holding_institution,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,identifier,https://edit16.iccu.sbn.it/titolo/CNCE034699,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,described_by_source,,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,title,,,,,"Rime di diuersi eccellenti autori bresciani, nuouamente raccolte, et mandate in luce da Girolamo Ruscelli tra le quali sono le rime della signora Veronica Gambara, & di m. Pietro Barignano, ridotte alla vera sincerità loro",,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,inception,,,,,,1554.0,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,has_version,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE034699,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jh75nfZH3HZA', 'label': 'Plinio Pietrasanta'}",1554.0,https://www.digitale-sammlungen.de/de/view/bsb10190079,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb10190079/manifest,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NqAa4C6LiGN8,Girolamo Ruscelli,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UoNnKvS6oS98,Fortunato Martinengo Cesaresco,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,subject,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Dkw9yTeHkpNT,heterodoxy,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,has_part,,,,,,,,,,,,,,,,,,,,
Book,Rime di diversi eccellenti autori bresciani,,,Rime di diversi eccellenti autori bresciani,Rime di diversi eccellenti autori bresciani.md,d564otbkr4yr,723368314662522120735,based_on,,,,,,,,,,,,,,,,,,,,
