class,label,aliases,base_name,filename,id,n_id,property,part_of_value,part_of_label,isbn_value,citation_value
BibliographicResource,(Cox 2020),['coxMembersMusesMascots2020'],(Cox 2020),(Cox 2020).md,m8sBpVgB8XmV,889828210762058898228,part_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VzDB9FgKgMET,"(Everson, Reidy, and Sampson 2020)",,
BibliographicResource,(Cox 2020),['coxMembersMusesMascots2020'],(Cox 2020),(Cox 2020).md,m8sBpVgB8XmV,889828210762058898228,isbn,,,978-1-909662-57-5,
BibliographicResource,(Cox 2020),['coxMembersMusesMascots2020'],(Cox 2020),(Cox 2020).md,m8sBpVgB8XmV,889828210762058898228,citation,,,,"Cox, Virginia. 2020. ‘Members, Muses, Mascots: Women and Italian Academies’. In The Italian Academies 1525-1700: Networks of Culture, Innovation and Dissent, edited by Denis V Reidy, Jane E. Everson, and Lisa Sampson, 150–87. Italian Perspectives 31. London New York: Routledge, Taylor & Francis Group."
