class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,44ctZoQBfT5A,42217449771839620868,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,44ctZoQBfT5A,42217449771839620868,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,44ctZoQBfT5A,42217449771839620868,work_location,,,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,44ctZoQBfT5A,42217449771839620868,member_of,,,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,44ctZoQBfT5A,42217449771839620868,occupation,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,44ctZoQBfT5A,42217449771839620868,related_to,,,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,44ctZoQBfT5A,42217449771839620868,notable_work,,,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,44ctZoQBfT5A,42217449771839620868,interested_in,,,,,,,,,,,,,,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,44ctZoQBfT5A,42217449771839620868,catalog_identifier,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",5602.0,
Agent,Muzio Manfredi,Muzio Manfredi.md,Muzio Manfredi,44ctZoQBfT5A,42217449771839620868,present_in_work,,,,,,,,,,,,,,
