class,label,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,founder,founder,founder.md,joaxpdFod2Jb,862572750621335133075,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6oNeDcfvTHyK,occupation,,
Concept,founder,founder,founder.md,joaxpdFod2Jb,862572750621335133075,subclass_of,,,,
Concept,founder,founder,founder.md,joaxpdFod2Jb,862572750621335133075,identifier,,,,http://www.wikidata.org/entity/Q4479442
