class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Deh girate, luci amate",,,"Deh girate, luci amate","Deh girate, luci amate.md",nJZ8RxNURyuF,913969739319716323354,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F000490000101_PPPP00011000C,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Deh girate, luci amate",,,"Deh girate, luci amate","Deh girate, luci amate.md",nJZ8RxNURyuF,913969739319716323354,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Deh girate, luci amate",,,"Deh girate, luci amate","Deh girate, luci amate.md",nJZ8RxNURyuF,913969739319716323354,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,"Deh girate, luci amate",,,"Deh girate, luci amate","Deh girate, luci amate.md",nJZ8RxNURyuF,913969739319716323354,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ke7Y8iiuR8Rg,Isabella Andreini,,,,,,,,,,,,,,,,
PoeticWork,"Deh girate, luci amate",,,"Deh girate, luci amate","Deh girate, luci amate.md",nJZ8RxNURyuF,913969739319716323354,part_of,,,,,,,,,Scherzo VII.,115-116,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ntSDGzZoi2Eb,Rime d'Isabella Andreini padovana comica Gelosa,,,,,,,,,,,,
PoeticWork,"Deh girate, luci amate",,,"Deh girate, luci amate","Deh girate, luci amate.md",nJZ8RxNURyuF,913969739319716323354,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Deh girate, luci amate",,,"Deh girate, luci amate","Deh girate, luci amate.md",nJZ8RxNURyuF,913969739319716323354,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Deh girate, luci amate",,,"Deh girate, luci amate","Deh girate, luci amate.md",nJZ8RxNURyuF,913969739319716323354,subject,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Deh girate, luci amate",,,"Deh girate, luci amate","Deh girate, luci amate.md",nJZ8RxNURyuF,913969739319716323354,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ngTwYTt8Gx5h,barzelletta,,,,,,,
PoeticWork,"Deh girate, luci amate",,,"Deh girate, luci amate","Deh girate, luci amate.md",nJZ8RxNURyuF,913969739319716323354,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VQaYNbLwFqmy,octosyllable,,,,,
