class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,identifier,http://www.wikidata.org/entity/Q18945590,,,,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,described_by_source,,,,,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nMAehWb3F4ta,1608.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FhzJj6sXkzSq', 'label': '(Teza 2017)'}]",Accademia degli Umoristi di Roma,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nMAehWb3F4ta,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FhzJj6sXkzSq', 'label': '(Teza 2017)'}]",Accademia degli Umoristi di Roma,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,related_to,,,,,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,notable_work,,,,,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,interested_in,,,,,,,,,,,,,,,,,,
Agent,Leandro Bovarini,,,Leandro Bovarini,Leandro Bovarini.md,kjZNzKsoyqmg,881750396088556830788,catalog_identifier,,,,,,,,,,,,,,,,,,
