class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,identifier,http://www.wikidata.org/entity/Q5565265,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,described_by_source,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,work_location,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,member_of,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp,composer,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ASH2gWgAmJJD,Renée of Valois,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,notable_work,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,interested_in,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Giulio Fiesco,,,Giulio Fiesco,Giulio Fiesco.md,36jLqrwt8vLG,22346542442699536784,present_in_work,,,,,,,,,,,,,,,,
