class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label
Concept,incomplete,,['partially'],incomplete,incomplete.md,f7SkukMmayjC,765495678963511123441,identifier,http://www.wikidata.org/entity/Q100349848,,,,
Concept,incomplete,,['partially'],incomplete,incomplete.md,f7SkukMmayjC,765495678963511123441,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8zdRfLE7y33d,(Toffetti et al. 2026),,
Concept,incomplete,,['partially'],incomplete,incomplete.md,f7SkukMmayjC,765495678963511123441,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fgfWxFv2gTMo,quality
