class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_permalink,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,AAWDDvSdnwKX,168162555753582598304,identifier,https://edit16.iccu.sbn.it/titolo/CNCE045368,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,AAWDDvSdnwKX,168162555753582598304,identifier,https://repim.itatti.harvard.edu/resource/?uri=http://repim.unibo.it/resource/BOOK/NV17920010,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,AAWDDvSdnwKX,168162555753582598304,identifier,https://rism.online/sources/990055829,,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,AAWDDvSdnwKX,168162555753582598304,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,AAWDDvSdnwKX,168162555753582598304,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,AAWDDvSdnwKX,168162555753582598304,title,,,,,,Il primo libro de madrigali a quatro voci di m. Cipriano De Rore,,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,AAWDDvSdnwKX,168162555753582598304,inception,,,,,,,1550.0,,,,,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,AAWDDvSdnwKX,168162555753582598304,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1569.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BAscdG7oumi7', 'label': 'Antonio Gardano'}",https://edit16.iccu.sbn.it/titolo/CNCE045505,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Vr34aVTZvrrW', 'label': 'Munich Digitization Center'}",https://stimmbuecher.digitale-sammlungen.de/view?id=bsb00072033,https://api.digitale-sammlungen.de/iiif/presentation/v2/bsb00072033/manifest,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,AAWDDvSdnwKX,168162555753582598304,has_version,,,,,,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4rNwxjw3kNQo', 'label': 'Ferrara'}]",1550.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2bwzGbrYhiEY', 'label': 'Giovanni de Bulghat'}",https://edit16.iccu.sbn.it/titolo/CNCE045368,,,,,,,,,,,
NotatedMusic,Il primo libro de madrigali a quattro voci di Cipriano De Rore,,,Il primo libro de madrigali a quattro voci di Cipriano De Rore,Il primo libro de madrigali a quattro voci di Cipriano De Rore.md,AAWDDvSdnwKX,168162555753582598304,contributor,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MaxTYmUANWX3,Cipriano de Rore,,,,,
