class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_section,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,D'un alto monte; ove si scorge il mare,The author laments her reclusion in het father's house.,,D'un alto monte; ove si scorge il mare,D'un alto monte; ove si scorge il mare.md,7SeP7USJZtd5,112099302743683079268,identifier,https://lyra.unil.ch/poems/1569,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'un alto monte; ove si scorge il mare,The author laments her reclusion in het father's house.,,D'un alto monte; ove si scorge il mare,D'un alto monte; ove si scorge il mare.md,7SeP7USJZtd5,112099302743683079268,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'un alto monte; ove si scorge il mare,The author laments her reclusion in het father's house.,,D'un alto monte; ove si scorge il mare,D'un alto monte; ove si scorge il mare.md,7SeP7USJZtd5,112099302743683079268,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/H6vWHyD5TTp4,(Nardi 2020),,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'un alto monte; ove si scorge il mare,The author laments her reclusion in het father's house.,,D'un alto monte; ove si scorge il mare,D'un alto monte; ove si scorge il mare.md,7SeP7USJZtd5,112099302743683079268,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'un alto monte; ove si scorge il mare,The author laments her reclusion in het father's house.,,D'un alto monte; ove si scorge il mare,D'un alto monte; ove si scorge il mare.md,7SeP7USJZtd5,112099302743683079268,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dAMKocC6THAK,Isabella di Morra,,,,,,,,,,,,,,,,,
PoeticWork,D'un alto monte; ove si scorge il mare,The author laments her reclusion in het father's house.,,D'un alto monte; ove si scorge il mare,D'un alto monte; ove si scorge il mare.md,7SeP7USJZtd5,112099302743683079268,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Up3JPoUhPHLL,Isabella di Morra.,310.0,Libro quinto delle rime di diversi illustri signori napoletani,,,,,,,,,,,,,
PoeticWork,D'un alto monte; ove si scorge il mare,The author laments her reclusion in het father's house.,,D'un alto monte; ove si scorge il mare,D'un alto monte; ove si scorge il mare.md,7SeP7USJZtd5,112099302743683079268,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h6rbpvv44fCy,Isabella di Morra.,15.0,"Rime delle signore Lucrezia Marinella, Veronica Gambara, ed Isabella Della Morra. Di nuouo date in luce da Antonio Bulifon",,,,,,,,,,,,,
PoeticWork,D'un alto monte; ove si scorge il mare,The author laments her reclusion in het father's house.,,D'un alto monte; ove si scorge il mare,D'un alto monte; ove si scorge il mare.md,7SeP7USJZtd5,112099302743683079268,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'un alto monte; ove si scorge il mare,The author laments her reclusion in het father's house.,,D'un alto monte; ove si scorge il mare,D'un alto monte; ove si scorge il mare.md,7SeP7USJZtd5,112099302743683079268,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,D'un alto monte; ove si scorge il mare,The author laments her reclusion in het father's house.,,D'un alto monte; ove si scorge il mare,D'un alto monte; ove si scorge il mare.md,7SeP7USJZtd5,112099302743683079268,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gcrqwjgvBQyM,despair,,,,,,,,,
