class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,interested_in_label,catalog_identifier_value,present_in_work_value
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,identifier,http://www.wikidata.org/entity/Q212657,,,,,,,,,,,,,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv,Venezia,,,,,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GvYVBMCkzMzW,Firenze,,,,,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Bt7QcM34G3L3,1626.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia dei Desiosi di Venezia,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6dBGbXyqu7h5,1616.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia del Disegno di Firenze,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9EG2tE8aFH7w,painter,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,related_to,,,,,,,,,,,,,,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,notable_work,,,,,,,,,,,,,,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,interested_in,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bHJG3dg7VrRb,music making,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,interested_in,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sase3zEpuPuV,mythical character,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,interested_in,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/F4Q6mPjKkDUQ,querelle des femmes,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,catalog_identifier,,,,,,,,,,,,,,,,,,,,,
Agent,Artemisia Gentileschi,,,Artemisia Gentileschi,Artemisia Gentileschi.md,WRsDFDbd5TpG,586444436796403251539,present_in_work,,,,,,,,,,,,,,,,,,,,,
