class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,identifier_value
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,gender,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,work_location,,,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ctWkhvzz9tCu,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Accademia dei Caliginosi di Ancona,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nMAehWb3F4ta,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Accademia degli Umoristi di Roma,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,member_of,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/htvvES2xJL7N,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aKGEnQvmmxYg', 'label': '(Tostini 2017)'}]",Accademia degli Insensati di Perugia,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW,poet,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,related_to,,,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,notable_work,,,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,interested_in,,,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,catalog_identifier,,,,,,,,,,,,,,,
Agent,Antonio Bruni,Antonio Bruni.md,Antonio Bruni,V4FLs6UGwozW,557978034448282121071,identifier,,,,,,,,,,,,,,,http://www.wikidata.org/entity/Q30250615
