class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,identifier,http://www.wikidata.org/entity/Q1499958,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,described_by_source,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,instance_of,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,inception,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,dissolved,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,location,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,official_website,,,,,,,https://www.kunstmuseum.nl/,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,catalog_identifier,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,member,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,interested_in,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,notable_work,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,related_to,,,,,,,,,,,,,
Organisation,Kunstmuseum Den Haag,,['Gemeentemuseum Den Haag'],Kunstmuseum Den Haag,Kunstmuseum Den Haag.md,bynxaW9GaKG8,701182074722448320400,motto,,,,,,,,,,,,,
