class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_holding_institution,has_version_external_source,has_version_IIIF_manifest,has_version_place_of_publication,has_version_publication_date,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2F005930010,,,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,title,,,,,,"Rime diverse del Mutio Iustinopolitano. Tre libri di arte poetica. Tre libri di lettere in rime sciolte, La Europa. Il Davalo di Giulio Camillo tradutto. Con privilegio del sommo pontefice Giulio III & dello illustriss. Senato Veneto & d'altri prencipi",,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,inception,,,,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,has_version,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",https://viewer.onb.ac.at/109B7274/,https://api.onb.ac.at/iiif/presentation/v3/manifest/109B7274,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ut5gfQdSP4WR', 'label': 'Ferrara'}]",1551.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/66jWzPXuDjG8,Girolamo Muzio,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,subject,,,,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,based_on,,,,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Book,Rime diverse del Mutio Iustinopolitano,,,Rime diverse del Mutio Iustinopolitano,Rime diverse del Mutio Iustinopolitano.md,Aevq3dLW2jG9,178455915435254035495,has_part,,,,,,,,,,,,,,,,,,,,
