class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_external_source,has_version_permalink,has_version_place_of_publication,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,identifier_value,described_by_source_value,described_by_source_label
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7SDwTH2xoWfL,emblem book,,,,,,,,,,,,,,,,,,
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,title,,,Le imprese illustri del s.or Ieronimo Ruscelli. Aggiuntoui nuouam.te il quarto libro da Vincenzo Ruscelli da Viterbo,,,,,,,,,,,,,,,,,
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,inception,,,,,,,,,,,,,,,,,,,,
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,has_version,,,,,1584.0,https://books.google.be/books?id=Egmkr8C6J0IC,https://edit16.iccu.sbn.it/titolo/CNCE047664,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4vGZjVcpavRo', 'label': 'Francesco De Franceschi'}",,,,,,,,,,,
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,contributor,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Da95B7dvHP7b,Girolamo Ruscelli,,,,,,,,
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NALenMNqEw64,impresa,,,,,,
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,based_on,,,,,,,,,,,,,,,,,,,,
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,has_part,,,,,,,,,,,,,,,,,,,,
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,identifier,,,,,,,,,,,,,,,,,,https://edit16.iccu.sbn.it/titolo/CNCE047664,,
Book,Le imprese illustri del signor Girolamo Ruscelli,Le imprese illustri del signor Girolamo Ruscelli.md,Le imprese illustri del signor Girolamo Ruscelli,CjEJhyvW4Wcq,221280444089029805396,described_by_source,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YD4DY4FQzNjL,(Procaccioli 2020)
