class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,subclass_of_value,identifier_value
Concept,heptasyllable,heptasyllable.md,heptasyllable,YZkrDgDqrsaF,630572162882376386512,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2xCaDiBv9GeK,metrical pattern,,
Concept,heptasyllable,heptasyllable.md,heptasyllable,YZkrDgDqrsaF,630572162882376386512,subclass_of,,,,
Concept,heptasyllable,heptasyllable.md,heptasyllable,YZkrDgDqrsaF,630572162882376386512,identifier,,,,http://www.wikidata.org/entity/Q3133334
