class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_quantity,instrumentation_value,instrumentation_label,based_on_value,derivative_work_value,text_value,language_value,language_label,subject_value,subject_label,poetic_type_value,poetic_type_label,depicts_value,depicts_label,metre_value,metre_label
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F167770006010101_000000157100,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,instance_of,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9ENdykkNtf6X,anonymous,,,,,,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5n6E2xua9xN3,Rinaldo del Mel,,,,,,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JWr76UXJFZjt,Il Primo libro de Madrigali a cinque voci de Rinaldo Del Mel,,,,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,instrumentation,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eGsqNxDMVtd4,sextus,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,instrumentation,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,instrumentation,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,instrumentation,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,instrumentation,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,instrumentation,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6xVaVEAi3tdM,cantus,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
MusicComposition,"Ahi, ahi che se ne van tutte le notti",,,"Ahi, ahi che se ne van tutte le notti","Ahi, ahi che se ne van tutte le notti.md",GvSRSQE4AepF,307883377375205048980,text,,,,,,,,,,,,,,,"AHI ahi che se ne van tutte le notti
Né s'arresta giamai un hora il sole
fugge come balen la nostra vita
siegue dop'il gioir mai sempr'il pianto
Ogn'hor s'affretta di girare il cielo
Né riedon più i già passati giorni
son trist'i giorn'e pessime le notti
il ciel non porg'a me mai chiar'il sole
sol di pianto pasc'io quest'aspra vita.",,,,,,,,,,
