class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Dopo la pioggia del mio pianto amaro,,,Dopo la pioggia del mio pianto amaro,Dopo la pioggia del mio pianto amaro.md,GdukNMqWzoWr,301902409466081676321,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F000360000101_PPPP00011000C,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dopo la pioggia del mio pianto amaro,,,Dopo la pioggia del mio pianto amaro,Dopo la pioggia del mio pianto amaro.md,GdukNMqWzoWr,301902409466081676321,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dopo la pioggia del mio pianto amaro,,,Dopo la pioggia del mio pianto amaro,Dopo la pioggia del mio pianto amaro.md,GdukNMqWzoWr,301902409466081676321,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dopo la pioggia del mio pianto amaro,,,Dopo la pioggia del mio pianto amaro,Dopo la pioggia del mio pianto amaro.md,GdukNMqWzoWr,301902409466081676321,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUiiaYvUfK7o,Isabella Andreini,,,,,,,,,,,,,,,,,
PoeticWork,Dopo la pioggia del mio pianto amaro,,,Dopo la pioggia del mio pianto amaro,Dopo la pioggia del mio pianto amaro.md,GdukNMqWzoWr,301902409466081676321,part_of,,,,,,,,,Mad. XIX,49.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7Pmih35JHCN,Rime d'Isabella Andreini padovana comica Gelosa,,,,,,,,,,,,,
PoeticWork,Dopo la pioggia del mio pianto amaro,,,Dopo la pioggia del mio pianto amaro,Dopo la pioggia del mio pianto amaro.md,GdukNMqWzoWr,301902409466081676321,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dopo la pioggia del mio pianto amaro,,,Dopo la pioggia del mio pianto amaro,Dopo la pioggia del mio pianto amaro.md,GdukNMqWzoWr,301902409466081676321,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Dopo la pioggia del mio pianto amaro,,,Dopo la pioggia del mio pianto amaro,Dopo la pioggia del mio pianto amaro.md,GdukNMqWzoWr,301902409466081676321,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MFkDrmE7jx9f,oxymoron,,,,,,,,,
PoeticWork,Dopo la pioggia del mio pianto amaro,,,Dopo la pioggia del mio pianto amaro,Dopo la pioggia del mio pianto amaro.md,GdukNMqWzoWr,301902409466081676321,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NiFCVHMLTGkp,madrigale,,,,,,,
PoeticWork,Dopo la pioggia del mio pianto amaro,,,Dopo la pioggia del mio pianto amaro,Dopo la pioggia del mio pianto amaro.md,GdukNMqWzoWr,301902409466081676321,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
