class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,has_version_publisher,has_version_external_source,contributor_role,contributor_value,contributor_label,subject_value,subject_label,has_part_value,based_on_value,based_on_label,catalog_identifier_value,catalog_identifier_source
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,identifier,http://id.sbn.it/bid/VEAE005594,,,,,,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cibGpsivH4gP,(Lucioli 2024),,,,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PdqQDrJWGC9w,(Ray 2015),,,,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CrKoHGLhLE34,chivalric poem,,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,title,,,,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi. Dedicato all'ill.ma & ecc.ma sig.ra D. Costanza Colonna Sforza marchesa di Carauaggio,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,inception,,,,,,,1606.0,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,has_version,,,,,,,,http://id.sbn.it/bid/VEAE005594,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG', 'label': 'Roma'}]",1606.0,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gTea6aAVr5nE', 'label': 'Lepido Faci'}",https://books.google.be/books?id=F-viq7OXyNoC,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ydztdw6QnLAs,Costanza Colonna,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CxoeEPW2RCZ6,Margherita Sarrocchi,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/WziXzP4KdMYo,alchemy,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dP6pRwh4sN3U,magic,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,has_part,,,,,,,,,,,,,,,,,,,,,,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,based_on,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MyN8HshJ2LaN,"Gierusalemme liberata, poema heroico del sig. Torquato Tasso",,
Book,La Scanderbeide poema heroico della signora Margherita Sarrocchi,,,La Scanderbeide poema heroico della signora Margherita Sarrocchi,La Scanderbeide poema heroico della signora Margherita Sarrocchi.md,LZGUG764AwQF,382761076517871015202,catalog_identifier,,,,,,,,,,,,,,,,,,,,,E40453-01,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}"
