class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value
Concept,lightning,,"['folgore', 'fulmine', 'saetta']",lightning,lightning.md,FfsDH2wWMAGN,281974408585654632947,identifier,http://www.wikidata.org/entity/Q33741,
Concept,lightning,,"['folgore', 'fulmine', 'saetta']",lightning,lightning.md,FfsDH2wWMAGN,281974408585654632947,described_by_source,,
