class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,related_to_reference,related_to_label,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,identifier,http://www.wikidata.org/entity/Q7803,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,described_by_source,,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,work_location,,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,member_of,,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JtXDRUo7kviy,painter,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,related_to,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TdyZG6fXKCLc,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3XnpJ3vZQnbp', 'label': '(Geremicca 2017)'}]",Benedetto Varchi,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,notable_work,,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,interested_in,,,,,,,,,,,,,,,,
Agent,Angelo Bronzino,,,Angelo Bronzino,Angelo Bronzino.md,acwRYHsoLHHw,672997179392485690166,catalog_identifier,,,,,,,,,,,,,,,,
