class,description,base_name,filename,label,id,n_id,property,instance_of_value,subclass_of_value,identifier_value
Concept,natural object visible in the sky to the naked eye,celestial body,celestial body.md,celestial body,MiEZVRza7UDo,406643156678508114615,instance_of,,,
Concept,natural object visible in the sky to the naked eye,celestial body,celestial body.md,celestial body,MiEZVRza7UDo,406643156678508114615,subclass_of,,,
Concept,natural object visible in the sky to the naked eye,celestial body,celestial body.md,celestial body,MiEZVRza7UDo,406643156678508114615,identifier,,,http://www.wikidata.org/entity/Q1519541
