class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,identifier,http://www.wikidata.org/entity/Q3606791,,,,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp,(Terzaghi 2017),,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PE5uAEyVKtpe,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp', 'label': '(Terzaghi 2017)'}]",Accademia degli Umoristi di Roma,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,occupation,,,,,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,related_to,,,,,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,notable_work,,,,,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,interested_in,,,,,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,6bGRNjZNEe7C,94582223371207683241,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18202.0
