class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,part_of_section,part_of_volume,part_of_pages,part_of_value,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",[[Francesco Maria Santinelli]],,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,part_of,,,,,,,Contro l'opinione di Democrito,Rime morali,65.0,[[(Santinelli 1985)]],,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,subject,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/akHAqpCfXjea,philosophy,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,subject,,,,,,,,,,,,,[[atomism]],,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,poetic_type,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Mzrr2esvFbco,sonnet,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,metre,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,depicts,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,language,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,Di Democrito rido. A caso ei vuole,,,Di Democrito rido. A caso ei vuole,Di Democrito rido. A caso ei vuole.md,HCVGLkUgM4cJ,313331917835860178509,text,,,,,,,,,,,,,,,,,,,,,,"Di Democrito rido. A caso ei vuole,
Che de gli Atomi fuor sia fatto il Mondo.
Vuol dar con questi a l'universa mole
Essere, qualità, misura e pondo.

Dunque a caso ha natura il sen fecondo?
Dunque nascere il tutto a caso suole?
Per fortuito concorso è 'l Mar profondo?
Per fortuito concorso è chiaro il Sole?

Studiata follia, che a riso move.
Sempre da l'Orto il dì corre a l'Occaso,
Né mai può traviar per strade nove.

Infallibil Natura ha persuaso,
Che v'è regola al Tutto, e che là dove
Stabil Ordine v'è, non entra il Caos."
