class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value,present_in_work_label
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,identifier,http://www.wikidata.org/entity/Q55830775,,,,,,,,,,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,described_by_source,,,,,,,,,,,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/BGQNJxxjkLkV,literary character,,,,,,,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,work_location,,,,,,,,,,,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,member_of,,,,,,,,,,,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MP7QJCKH94z7,princess,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,related_to,,,,,,,,,,,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,notable_work,,,,,,,,,,,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,interested_in,,,,,,,,,,,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,catalog_identifier,,,,,,,,,,,,,,,,
Agent,Olimpia,,,Olimpia,Olimpia.md,ZaXMHEYL6UzC,651484302594899985682,present_in_work,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XU8S5WyvBShC,Orlando furioso
