class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_volume,part_of_pages,part_of_section,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F034390000103_004600010C,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2hzh3As9hqrE,Battista Guarini,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4ZML5eP7iYqa,,92.0,Parola di Donna amante. LXX.,Rime del molto illustre signor cavaliere Battista Guarini,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,based_on,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,subject,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ddyPTXYyiFzq,loyalty,,,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,poetic_type,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,metre,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VGUgNmuMpvAd,heart,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,depicts,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Rq5MFqmMSfYb,Cupid,,,
PoeticWork,"T'amo, mia vita, la mia cara vita",,,"T'amo, mia vita, la mia cara vita","T'amo, mia vita, la mia cara vita.md",DBGQNF4RW3Uc,230344610260669715587,language,,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
