class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,opposite_of_value,opposite_of_label
Concept,parent,,,parent,parent.md,HfrQcprw9i6S,323241121348455348234,identifier,http://www.wikidata.org/entity/Q7566,,,
Concept,parent,,,parent,parent.md,HfrQcprw9i6S,323241121348455348234,described_by_source,,,,
Concept,parent,,,parent,parent.md,HfrQcprw9i6S,323241121348455348234,opposite_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/V6cqVoABPVYS,child
