class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_pages,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,metre_value,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,"Venisti iuvenis, duclissima curatuorum","Lament for his death son, asking the Gods the reason for such a punishment. You have come, young man, most excellent of the caretakers,
That you may continue our unfortunate journey.
You have been saved by the arrow that was aimed at me:
Not yours, but mine, has thus enviously snatched it away.
I was now destroyed by death, by my country's hatreds; of mine:
My own son receives you in this light.
The gods erred: why is it strange that they erred?
Thus perished the two young men without a source.
As much light now as there is, as much life now as there is,
I owe to both, even though it may be unequal love.
Do you ask, whence this wrath of the gods arose for me?
The heavens had believed their own fates.",,"Venisti iuvenis, duclissima curatuorum","Venisti iuvenis, duclissima curatuorum.md",KqAhsepRwa4C,367881119245551758866,identifier,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Venisti iuvenis, duclissima curatuorum","Lament for his death son, asking the Gods the reason for such a punishment. You have come, young man, most excellent of the caretakers,
That you may continue our unfortunate journey.
You have been saved by the arrow that was aimed at me:
Not yours, but mine, has thus enviously snatched it away.
I was now destroyed by death, by my country's hatreds; of mine:
My own son receives you in this light.
The gods erred: why is it strange that they erred?
Thus perished the two young men without a source.
As much light now as there is, as much life now as there is,
I owe to both, even though it may be unequal love.
Do you ask, whence this wrath of the gods arose for me?
The heavens had believed their own fates.",,"Venisti iuvenis, duclissima curatuorum","Venisti iuvenis, duclissima curatuorum.md",KqAhsepRwa4C,367881119245551758866,described_by_source,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Venisti iuvenis, duclissima curatuorum","Lament for his death son, asking the Gods the reason for such a punishment. You have come, young man, most excellent of the caretakers,
That you may continue our unfortunate journey.
You have been saved by the arrow that was aimed at me:
Not yours, but mine, has thus enviously snatched it away.
I was now destroyed by death, by my country's hatreds; of mine:
My own son receives you in this light.
The gods erred: why is it strange that they erred?
Thus perished the two young men without a source.
As much light now as there is, as much life now as there is,
I owe to both, even though it may be unequal love.
Do you ask, whence this wrath of the gods arose for me?
The heavens had believed their own fates.",,"Venisti iuvenis, duclissima curatuorum","Venisti iuvenis, duclissima curatuorum.md",KqAhsepRwa4C,367881119245551758866,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,
PoeticWork,"Venisti iuvenis, duclissima curatuorum","Lament for his death son, asking the Gods the reason for such a punishment. You have come, young man, most excellent of the caretakers,
That you may continue our unfortunate journey.
You have been saved by the arrow that was aimed at me:
Not yours, but mine, has thus enviously snatched it away.
I was now destroyed by death, by my country's hatreds; of mine:
My own son receives you in this light.
The gods erred: why is it strange that they erred?
Thus perished the two young men without a source.
As much light now as there is, as much life now as there is,
I owe to both, even though it may be unequal love.
Do you ask, whence this wrath of the gods arose for me?
The heavens had believed their own fates.",,"Venisti iuvenis, duclissima curatuorum","Venisti iuvenis, duclissima curatuorum.md",KqAhsepRwa4C,367881119245551758866,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpQ6pKz4YsX6,Gerolamo Cardano,,,,,,,,,,,,,,,
PoeticWork,"Venisti iuvenis, duclissima curatuorum","Lament for his death son, asking the Gods the reason for such a punishment. You have come, young man, most excellent of the caretakers,
That you may continue our unfortunate journey.
You have been saved by the arrow that was aimed at me:
Not yours, but mine, has thus enviously snatched it away.
I was now destroyed by death, by my country's hatreds; of mine:
My own son receives you in this light.
The gods erred: why is it strange that they erred?
Thus perished the two young men without a source.
As much light now as there is, as much life now as there is,
I owe to both, even though it may be unequal love.
Do you ask, whence this wrath of the gods arose for me?
The heavens had believed their own fates.",,"Venisti iuvenis, duclissima curatuorum","Venisti iuvenis, duclissima curatuorum.md",KqAhsepRwa4C,367881119245551758866,part_of,,,,,,,,378.0,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFpHD4eb2XAq,"Somniorum synesiorum, omnis generis insomina explicantes Libri IIII",,,,,,,,,,,
PoeticWork,"Venisti iuvenis, duclissima curatuorum","Lament for his death son, asking the Gods the reason for such a punishment. You have come, young man, most excellent of the caretakers,
That you may continue our unfortunate journey.
You have been saved by the arrow that was aimed at me:
Not yours, but mine, has thus enviously snatched it away.
I was now destroyed by death, by my country's hatreds; of mine:
My own son receives you in this light.
The gods erred: why is it strange that they erred?
Thus perished the two young men without a source.
As much light now as there is, as much life now as there is,
I owe to both, even though it may be unequal love.
Do you ask, whence this wrath of the gods arose for me?
The heavens had believed their own fates.",,"Venisti iuvenis, duclissima curatuorum","Venisti iuvenis, duclissima curatuorum.md",KqAhsepRwa4C,367881119245551758866,based_on,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Venisti iuvenis, duclissima curatuorum","Lament for his death son, asking the Gods the reason for such a punishment. You have come, young man, most excellent of the caretakers,
That you may continue our unfortunate journey.
You have been saved by the arrow that was aimed at me:
Not yours, but mine, has thus enviously snatched it away.
I was now destroyed by death, by my country's hatreds; of mine:
My own son receives you in this light.
The gods erred: why is it strange that they erred?
Thus perished the two young men without a source.
As much light now as there is, as much life now as there is,
I owe to both, even though it may be unequal love.
Do you ask, whence this wrath of the gods arose for me?
The heavens had believed their own fates.",,"Venisti iuvenis, duclissima curatuorum","Venisti iuvenis, duclissima curatuorum.md",KqAhsepRwa4C,367881119245551758866,derivative_work,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Venisti iuvenis, duclissima curatuorum","Lament for his death son, asking the Gods the reason for such a punishment. You have come, young man, most excellent of the caretakers,
That you may continue our unfortunate journey.
You have been saved by the arrow that was aimed at me:
Not yours, but mine, has thus enviously snatched it away.
I was now destroyed by death, by my country's hatreds; of mine:
My own son receives you in this light.
The gods erred: why is it strange that they erred?
Thus perished the two young men without a source.
As much light now as there is, as much life now as there is,
I owe to both, even though it may be unequal love.
Do you ask, whence this wrath of the gods arose for me?
The heavens had believed their own fates.",,"Venisti iuvenis, duclissima curatuorum","Venisti iuvenis, duclissima curatuorum.md",KqAhsepRwa4C,367881119245551758866,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/VvwqSP8dg3vT,elegy,,,,,,,
PoeticWork,"Venisti iuvenis, duclissima curatuorum","Lament for his death son, asking the Gods the reason for such a punishment. You have come, young man, most excellent of the caretakers,
That you may continue our unfortunate journey.
You have been saved by the arrow that was aimed at me:
Not yours, but mine, has thus enviously snatched it away.
I was now destroyed by death, by my country's hatreds; of mine:
My own son receives you in this light.
The gods erred: why is it strange that they erred?
Thus perished the two young men without a source.
As much light now as there is, as much life now as there is,
I owe to both, even though it may be unequal love.
Do you ask, whence this wrath of the gods arose for me?
The heavens had believed their own fates.",,"Venisti iuvenis, duclissima curatuorum","Venisti iuvenis, duclissima curatuorum.md",KqAhsepRwa4C,367881119245551758866,poetic_type,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,"Venisti iuvenis, duclissima curatuorum","Lament for his death son, asking the Gods the reason for such a punishment. You have come, young man, most excellent of the caretakers,
That you may continue our unfortunate journey.
You have been saved by the arrow that was aimed at me:
Not yours, but mine, has thus enviously snatched it away.
I was now destroyed by death, by my country's hatreds; of mine:
My own son receives you in this light.
The gods erred: why is it strange that they erred?
Thus perished the two young men without a source.
As much light now as there is, as much life now as there is,
I owe to both, even though it may be unequal love.
Do you ask, whence this wrath of the gods arose for me?
The heavens had believed their own fates.",,"Venisti iuvenis, duclissima curatuorum","Venisti iuvenis, duclissima curatuorum.md",KqAhsepRwa4C,367881119245551758866,metre,,,,,,,,,,,,,,,,,,,,,,
