class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,identifier,http://www.wikidata.org/entity/Q1053428,,,,,,,,,,,
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,described_by_source,,,,,,,,,,,,
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ma9mE58a3Ryr,online database,,,,,,,,
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,inception,,,,,,,,,,,,
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,dissolved,,,,,,,,,,,,
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,location,,,,,,,,,,,,
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,official_website,,,,,,,,http://edit16.iccu.sbn.it/,,,,
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,catalog_identifier,,,,,,,,,,,,
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,member,,,,,,,,,,,,
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,interested_in,,,,,,,,,,,,
Organisation,EDIT16,,['Censimento nazionale delle edizioni italiane del XVI secolo'],EDIT16,EDIT16.md,E8PzDPXNKJm8,249942641680877508810,notable_work,,,,,,,,,,,,
