class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_pages,part_of_volume,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,identifier,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/44NBTod6K3M3,Giovanni Maria Bonardo,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Ts84ndzSUdKS,Issicratea Monte,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,part_of,,,,,,,,Sonetto della Sig. Issicratea Monte al C.B.F.,34.0,2nd edition,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Xu3FeGq6EtRs,Madrigali del cavalier Gio. Maria Bonardo fratteggiano,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,subject,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/duqiuAVT6ZNg,praise,,,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,poetic_type,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/B7F6S9cQhDK7,sonnet,,,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,metre,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/44NBTod6K3M3,Giovanni Maria Bonardo,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,depicts,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kEaU6QpCkpAA,star,,,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,language,,,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Mentre lontana sol contemplo quella,,,Mentre lontana sol contemplo quella,Mentre lontana sol contemplo quella.md,5rx8Yfsa7CCe,79629007055307600504,text,,,,,,,,,,,,,,,,,,,,,,,,,"Mentre lontana sol contemplo quella
Vostra rara virtù, degna di rima
Spinge ad alzarmi all'alta cagion prima
Un non so, che divin, ch'io scorgo in ella.

Quinci s'apre la via, diritta, e bella,
Onde il mio nome poggi in ogni clima
Ne'l bagni oblio di lete, o roda lima
D'invida o furi mai proterva stella.

Quinci l'alma produce, un pensier saggio,
Che mi cerca inalzar, con bianche piume,
E portar dalli Esperi, a lidi Eoi,

Se dunque luce in me benigno raggio,
O si scopre virtù del divin lume
Tutto BONARDO sol nasce da voi."
