class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,country_value,country_label
Place,Torino,,['Turin'],Torino,Torino.md,KZShgMjFQVv2,362190187243495840755,identifier,http://www.wikidata.org/entity/Q495,,,,,
Place,Torino,,['Turin'],Torino,Torino.md,KZShgMjFQVv2,362190187243495840755,described_by_source,,,,,,
Place,Torino,,['Turin'],Torino,Torino.md,KZShgMjFQVv2,362190187243495840755,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Crg84MViZYxd,city,,
Place,Torino,,['Turin'],Torino,Torino.md,KZShgMjFQVv2,362190187243495840755,country,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/R4DkJ4Zkas7S,Italy
