class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,identifier,http://www.wikidata.org/entity/Q3766048,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,identifier,https://lyra.unil.ch/agents/348,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/24PiFs2FWWtK,Progetto Lyra,,,,,,,,,,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG,Roma,,,,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5VB64Nf9sroY,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/moMvn2zeurCU', 'label': '(Occhipinti 2017)'}]",Accademia delle Notti Vaticane,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,occupation,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,related_to,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,notable_work,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,interested_in,,,,,,,,,,,,,,,,,,
Agent,Giovanni Battista Amalteo,,,Giovanni Battista Amalteo,Giovanni Battista Amalteo.md,JrrHnpp4fyTC,347858627430662966632,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",18683.0
