class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_external_source,has_version_note,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,identifier,http://id.sbn.it/bid/MUS0154764,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV14260010,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,identifier,https://rism.online/sources/990042033,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,identifier,https://musicare.beniculturali.unipd.it/database/editions/005670.html,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dmwyPyczveEX,Musicare DB,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/N6jMCTymbADK,partbook,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f7SkukMmayjC,incomplete,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,title,,,,,,Madrigali à cinque voci : Libro primo / di Don Alfonso Montesano da Maida,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,inception,,,,,,,1622.0,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,has_version,,,,,,,,http://id.sbn.it/bid/MUS0154764,1622.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gbLYmsbE7QZL', 'label': 'Napoli'}]",http://www.bibliotecamusica.it/cmbm/viewschedatwbca.asp?path=/cmbm/images/ripro/gaspari/AA/AA387/,Altus and quintus are missing.,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,contributor,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LeNVLHNHKPVp', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZdhwwcMniHaV,Alfonso Montesano,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,subject,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,has_part,,,,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/mFmEeeyWJZMt,quintus
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kSRFAFQb4mfa,bassus
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5uHH8y5Q43eU,tenor
NotatedMusic,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,,,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano,Madrigali a cinque voci. Libro primo di Don Alfonso Montesano.md,dW653MkZD8Cf,732419172304714219531,instrumentation,,,,,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UffZZ8mohzzQ,altus
