class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,identifier,http://www.wikidata.org/entity/Q3846961,,,,,,,,,,,,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP,Italian Women Writers,,,,,,,,,,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/cibGpsivH4gP,(Lucioli 2024),,,,,,,,,,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PdqQDrJWGC9w,(Ray 2015),,,,,,,,,,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,work_location,,,,,,,,,,,,,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HgeP9DKTPBeR,1611.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Oziosi di Napoli,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bC9ap7cjMHkW,1608.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Ordinati di Roma,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PE5uAEyVKtpe,1602.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia degli Umoristi di Roma,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,occupation,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/iQ4o46B3wUmP', 'label': 'Italian Women Writers'}",A0259,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,catalog_identifier,,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DoWoU567wmiV', 'label': 'Italian Academies Database'}",15090,
Agent,Margherita Sarrocchi,,['Margherita Sarocchi'],Margherita Sarrocchi,Margherita Sarrocchi.md,CxoeEPW2RCZ6,226198650262595435818,present_in_work,,,,,,,,,,,,,,,,,,,,
