class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_publication_date,has_version_place_of_publication,has_version_publisher,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,instrumentation_quantity,instrumentation_value,instrumentation_label,identifier_value
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FcRrGt78cbeW,music score,,,,,,,,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,title,,,Madrigali e pazzarelle a due voci : per cantare nel arpicordo over tiorba : libro primo / di Nicolò Rubini da Modena,,,,,,,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,inception,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,has_version,,,,,http://id.sbn.it/bid/MUS0274029,1610.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]","{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9L5vRtvRmtKu', 'label': 'Ricciardo Amadino'}",,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,contributor,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/6erDHBBTYomD,Nicolò Rubini,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,subject,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,has_part,,,,,,,,,,,,,,,,,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,instrumentation,,,,,,,,,,,,,,1.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TVXPXNKywS5Z,continuo group,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,instrumentation,,,,,,,,,,,,,,2.0,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YGaCWVaHnsUw,voice,
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,identifier,,,,,,,,,,,,,,,,,https://rism.online/sources/990056331
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,identifier,,,,,,,,,,,,,,,,,http://id.sbn.it/bid/MUS0274029
NotatedMusic,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini.md,Madrigali e pazzarelle a due voci. Libro primo di Nicolò Rubini,nqNMJqJaMif5,925124341165711377828,identifier,,,,,,,,,,,,,,,,,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FBOOK%2FNV18530010
