class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_pages,part_of_label,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Erasi al Sole il mio bel Sole assiso,,,Erasi al Sole il mio bel Sole assiso,Erasi al Sole il mio bel Sole assiso.md,7xmSCTSKcFP7,123005106948750850427,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F009680000101_PPPP00282500C,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Erasi al Sole il mio bel Sole assiso,,,Erasi al Sole il mio bel Sole assiso,Erasi al Sole il mio bel Sole assiso.md,7xmSCTSKcFP7,123005106948750850427,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dM6ceQfzK2pQ,RePIM,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Erasi al Sole il mio bel Sole assiso,,,Erasi al Sole il mio bel Sole assiso,Erasi al Sole il mio bel Sole assiso.md,7xmSCTSKcFP7,123005106948750850427,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,,,,,
PoeticWork,Erasi al Sole il mio bel Sole assiso,,,Erasi al Sole il mio bel Sole assiso,Erasi al Sole il mio bel Sole assiso.md,7xmSCTSKcFP7,123005106948750850427,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QQU75XRhzWKV,Giovanni Battista Strozzi,,,,,,,,,,,,,,,,
PoeticWork,Erasi al Sole il mio bel Sole assiso,,,Erasi al Sole il mio bel Sole assiso,Erasi al Sole il mio bel Sole assiso.md,7xmSCTSKcFP7,123005106948750850427,part_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/G6nQquS3B9os,63.0,Madrigali di Giovambattista Strozzi,,,,,,,,,,,,,
PoeticWork,Erasi al Sole il mio bel Sole assiso,,,Erasi al Sole il mio bel Sole assiso,Erasi al Sole il mio bel Sole assiso.md,7xmSCTSKcFP7,123005106948750850427,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Erasi al Sole il mio bel Sole assiso,,,Erasi al Sole il mio bel Sole assiso,Erasi al Sole il mio bel Sole assiso.md,7xmSCTSKcFP7,123005106948750850427,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Erasi al Sole il mio bel Sole assiso,,,Erasi al Sole il mio bel Sole assiso,Erasi al Sole il mio bel Sole assiso.md,7xmSCTSKcFP7,123005106948750850427,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JtFVPwAgP7uA,transformation,,,,,,,,,
PoeticWork,Erasi al Sole il mio bel Sole assiso,,,Erasi al Sole il mio bel Sole assiso,Erasi al Sole il mio bel Sole assiso.md,7xmSCTSKcFP7,123005106948750850427,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,,
PoeticWork,Erasi al Sole il mio bel Sole assiso,,,Erasi al Sole il mio bel Sole assiso,Erasi al Sole il mio bel Sole assiso.md,7xmSCTSKcFP7,123005106948750850427,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,,
