class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_value,part_of_label,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,contributor,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/3YLGgR7kasRh,Pietro Aretino,,,,,,,,,,,,,,,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,part_of,,,,,,"Canto I, 11",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LjEXUop39PHN,D'Angelica di m. Pietro Aretino due primi canti,,,,,,,,,,,,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,based_on,,,,,,,,,,,,,,,,,,,,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,derivative_work,,,,,,,,,,,,,,,,,,,,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,subject,,,,,,,,,,,,,,,,,,,,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,poetic_type,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,metre,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NcLKf8Z7MHen,Medoro,,,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,depicts,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QD7ZE8NxGr96,knight,,,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/85kGqMwffVs7,Italian,
PoeticWork,S'amanti provar mai tormenti fieri,S'amanti provar mai tormenti fieri.md,S'amanti provar mai tormenti fieri,RFmM59FkoJ2k,479607366980032000962,text,,,,,,,,,,,,,,,,,,,,"S'Amanti provar mai tormenti fieri  
Con lagrime provargli, e con sospiri  
D'Angelica gli accesi Cavalieri,  
Che meritar Corona di martiri;
Quel dì, che in mezzo de lor Cori alteri  
Già colmi di speranze, e di desiri,  
Sonò come il felice, e bel Medoro  
Sentiti i frutti havea del sudor loro."
