class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value,present_in_work_value
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,identifier,http://www.wikidata.org/entity/Q250089,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,described_by_source,,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2P97RzuZEUPb,Siena,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QSyianVr6pdC,Accademia degli Intronati di Siena,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,occupation,,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,related_to,,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,notable_work,,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,interested_in,,,,,,,,,,,,,,,,,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,catalog_identifier,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",9205.0,
Agent,Alessandro Piccolomini,,,Alessandro Piccolomini,Alessandro Piccolomini.md,bWqvazmy4YRT,691426007283052904890,present_in_work,,,,,,,,,,,,,,,,,
