class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_permalink,has_version_place_of_publication,has_version_publication_date,contributor_role,contributor_value,contributor_label,subject_value,based_on_value,catalog_identifier_value,has_part_value
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,identifier,,,,,,,,,,,,,,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nBK2YJxBwhRw,(Desmoulière 2017),,,,,,,,,,,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,title,,,,,,"Le funebri rime, di diuersi eccellentissimi autori, in morte della signora Camilla Rocha Nobili Comica Confidente, detta Delia, raccolte da Francesco Antonazzoni Comico Confidente detto Ortensio, ...",,,,,,,,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,inception,,,,,,,1613.0,,,,,,,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,has_version,,,,,,,,http://id.sbn.it/bid/VEAE005062,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/f43HawKudsFv', 'label': 'Venezia'}]",1613.0,,,,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FJzQoB8QSGjd', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/8B7RQ8QV38Sj,Francesco Antonazzoni,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,contributor,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/hk9opoYyzkNU,Camilla Rocca Nobili,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,subject,,,,,,,,,,,,,,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,based_on,,,,,,,,,,,,,,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,catalog_identifier,,,,,,,,,,,,,,,,,
Book,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili",,,"Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili","Le funebri rime, di diversi eccellentissimi autori, in morte della signora Camilla Rocca Nobili.md",5mjJovFmGyHF,77737415500540393321,has_part,,,,,,,,,,,,,,,,,
