class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_publication_date,has_version_external_source,has_version_holding_institution,has_version_IIIF_manifest,has_version_place_of_publication,has_version_permalink,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,28Gh3VdwbtJh,2265469095770626065,identifier,https://edit16.iccu.sbn.it/titolo/CNCE026043,,,,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,28Gh3VdwbtJh,2265469095770626065,identifier,https://lyra.unil.ch/books/1,,,,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,28Gh3VdwbtJh,2265469095770626065,described_by_source,,,,,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,28Gh3VdwbtJh,2265469095770626065,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/XzeQyQXbyjmR,poetry collection,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,28Gh3VdwbtJh,2265469095770626065,title,,,,,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,28Gh3VdwbtJh,2265469095770626065,inception,,,,,,,,,,,,,,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,28Gh3VdwbtJh,2265469095770626065,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",1545.0,https://viewer.onb.ac.at/10AA1E34/,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/PQ2eSuRquqQB', 'label': 'Austrian National Library'}",https://api.onb.ac.at/iiif/presentation/v3/manifest/10AA1E34,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE026043,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,28Gh3VdwbtJh,2265469095770626065,has_version,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fuwRMJC2ciyu', 'label': ""Gabriele Giolito de' Ferrari""}",1545.0,https://books.google.be/books?id=x8kTAAAAQAAJ,,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TKTukTBozhcq', 'label': 'Venezia'}]",https://edit16.iccu.sbn.it/titolo/CNCE026043,,,,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,28Gh3VdwbtJh,2265469095770626065,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/RPt3AF9FDvgd,Veronica Gambara,,,
Book,Rime diuerse di molti eccellentiss. auttori nuouamente raccolte. Libro primo,,,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo,Rime diverse di molti eccellentiss. autori nuovamente raccolte. Libro primo.md,28Gh3VdwbtJh,2265469095770626065,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/dbNtcx3kn4i7', 'label': 'editor'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/S6k4cZpBdTPw,Lodovico Domenichi,,,
