class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publisher,has_version_publication_date,has_version_place_of_publication,has_version_permalink,has_version_external_source,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,has_part_value,based_on_value
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,identifier,http://id.sbn.it/bid/BVEE037819,,,,,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/eFqHfpSQSasp,(Terzaghi 2017),,,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QXGbSHBTa8pT,poetry collection,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,title,,,,,,Rime di Ottauio Tronsarelli,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,inception,,,,,,,1627.0,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,has_version,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2t3NaVuM5zYN', 'label': 'Francesco Corbelletti'}",1627.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/P5ipTFsK5dJG', 'label': 'Roma'}]",http://id.sbn.it/bid/BVEE037819,https://books.google.be/books?id=S2hFX7dfPXoC,https://jmms.iccu.sbn.it/jmms/metadata/UW01alpnX18_/b2FpOmJuY2YuZmlyZW56ZS5zYm4uaXQ6MjE6RkkwMDk4Ok1hZ2xpYWJlY2hpOkJWRUUwMzc4MTk_/manifest.json,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/CBJEfZgNCiU3', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HgeP9DKTPBeR,Accademia degli Oziosi di Napoli,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/bgExG22ootgh,Ottavio Tronsarelli,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,subject,,,,,,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,has_part,,,,,,,,,,,,,,,,,,,
Book,Rime di Ottavio Tronsarelli,,,Rime di Ottavio Tronsarelli,Rime di Ottavio Tronsarelli.md,DzT52g7L9k39,247427887527877557133,based_on,,,,,,,,,,,,,,,,,,,
