class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_section,part_of_volume,part_of_pages,part_of_value,based_on_value,derivative_work_value,subject_value,subject_label,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,depicts_label,language_value,language_label,text_value
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,identifier,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,described_by_source,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fYpqbjX78ztP,poem,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5GmrgRoxsCpY', 'label': 'dedicatee'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fwobE2DWRXRY,Emperor Charles V,,,,,,,,,,,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/awZyTsJZqrUq', 'label': 'author'}",[[Francesco Maria Santinelli]],,,,,,,,,,,,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,part_of,,,,,,,,"Canto VI, 46",Carlo Quinto,96.0,[[(Santinelli 1985)]],,,,,,,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,based_on,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,derivative_work,,,,,,,,,,,,,,,,,,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/jpEmjHi9Ym4c,alchemy,,,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,subject,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/ZfsD5EcdZsxp,praise,,,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,poetic_type,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/QKnFCoKHDFvG,ottava rima,,,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,metre,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/emwSSkhQpsBS,hendecasyllable,,,,,
PoeticWork,Tal da un impuro Chaos tu sciogli ancora,,,Tal da un impuro Chaos tu sciogli ancora,Tal da un impuro Chaos tu sciogli ancora.md,4Z9QiRbxykqF,52541823741547584673,depicts,,,,,,,,,,,,,,,,,,,,[[classical elements]],,,,
