class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,title_value,inception_value,has_version_publication_date,has_version_external_source,has_version_permalink,has_version_holding_institution,has_version_place_of_publication,has_version_IIIF_manifest,contributor_role,contributor_value,contributor_label,subject_value,subject_label,based_on_value,catalog_identifier_value,has_part_value,depicts_value,depicts_label
Book,Libro de la sorte,,"['Libro della ventura', 'Libro delle sorti']",Libro de la sorte,Libro de la sorte.md,9gCSyDoaQHNV,158274862690027108506,identifier,http://id.sbn.it/bid/VEAE120755,,,,,,,,,,,,,,,,,,,,,,
Book,Libro de la sorte,,"['Libro della ventura', 'Libro delle sorti']",Libro de la sorte,Libro de la sorte.md,9gCSyDoaQHNV,158274862690027108506,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/aTA3477y5bnj,(Palmer 2016),,,,,,,,,,,,,,,,,,,,
Book,Libro de la sorte,,"['Libro della ventura', 'Libro delle sorti']",Libro de la sorte,Libro de la sorte.md,9gCSyDoaQHNV,158274862690027108506,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9RQKQDjJbDUS,(Urbini and Procaccioli 2010),,,,,,,,,,,,,,,,,,,,
Book,Libro de la sorte,,"['Libro della ventura', 'Libro delle sorti']",Libro de la sorte,Libro de la sorte.md,9gCSyDoaQHNV,158274862690027108506,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/HSc3cvnMPYe2,libro sorte,,,,,,,,,,,,,,,,,,
Book,Libro de la sorte,,"['Libro della ventura', 'Libro delle sorti']",Libro de la sorte,Libro de la sorte.md,9gCSyDoaQHNV,158274862690027108506,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JCBpTmtUqcFv,parlour game,,,,,,,,,,,,,,,,,,
Book,Libro de la sorte,,"['Libro della ventura', 'Libro delle sorti']",Libro de la sorte,Libro de la sorte.md,9gCSyDoaQHNV,158274862690027108506,title,,,,,,Sorte composite per lo nobile ingiegno de Lorenzo spirito perugino,,,,,,,,,,,,,,,,,
Book,Libro de la sorte,,"['Libro della ventura', 'Libro delle sorti']",Libro de la sorte,Libro de la sorte.md,9gCSyDoaQHNV,158274862690027108506,inception,,,,,,,1484.0,,,,,,,,,,,,,,,,
Book,Libro de la sorte,,"['Libro della ventura', 'Libro delle sorti']",Libro de la sorte,Libro de la sorte.md,9gCSyDoaQHNV,158274862690027108506,has_version,,,,,,,,1515.0,https://www.rae.es/archivo-digital/libro-del-juego-de-las-suertes,https://www.rae.es/biblioteca/catalogo/?TITN=98013,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/NFDbxyVugxWn', 'label': 'Royal Spanish Academy'}",,,,,,,,,,,,
Book,Libro de la sorte,,"['Libro della ventura', 'Libro delle sorti']",Libro de la sorte,Libro de la sorte.md,9gCSyDoaQHNV,158274862690027108506,has_version,,,,,,,,1484.0,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3A193.206.197.121%3A18%3AVE0049%3AARM0000066&mode=all&teca=marciana,http://id.sbn.it/bid/VEAE120755,,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/icjGncFExzV8', 'label': 'Brescia'}]",https://jmms.iccu.sbn.it/jmms/metadata/YldGeVkybGhibUVf/b2FpOjE5My4yMDYuMTk3LjEyMToxODpWRTAwNDk6QVJNMDAwMDA2Ng__/manifest.json,,,,,,,,,,
Book,Libro de la sorte,,"['Libro della ventura', 'Libro delle sorti']",Libro de la sorte,Libro de la sorte.md,9gCSyDoaQHNV,158274862690027108506,contributor,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KWPenHmnQZny,Lorenzo Gualtieri,,,,,,,
