class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,identifier,http://www.wikidata.org/entity/Q55226811,,,,,,,,,,,,,,,,
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,described_by_source,,,,,,,,,,,,,,,,,
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,gender,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,,
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,work_location,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/7ot3ZWvYYdmA,Perugia,,,,,,,,,
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,member_of,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UJz77hnWWSNh,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/JjLg2AKb7hoK', 'label': '(Teza 2017)'}]",Accademia degli Insensati di Perugia,,,,,,
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,occupation,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4GV6wBhpBTG5,historian,,,,
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,related_to,,,,,,,,,,,,,,,,,
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,notable_work,,,,,,,,,,,,,,,,,
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,interested_in,,,,,,,,,,,,,,,,,
Agent,Cesare Crispolti,,,Cesare Crispolti,Cesare Crispolti.md,Mm8x6am9CEMv,407693666109700726021,catalog_identifier,,,,,,,,,,,,,,,,,
