class,base_name,filename,label,id,n_id,property,identifier_value,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,identifier,http://www.wikidata.org/entity/Q109530792,,,,,,,,,,,,,,
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,instance_of,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,gender,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/5bZY447EzsJq,male,,,,,,,,,,
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,work_location,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/gLeh7vn7FH8w,Milano,,,,,,,,
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,member_of,,,,,,,,,,,,,,,
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,occupation,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/o2jeCDMBAhqR,publisher,,,,,
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,related_to,,,,,,,,,,,,,,,
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,notable_work,,,,,,,,,,,,,,,
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,interested_in,,,,,,,,,,,,,,,
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,catalog_identifier,,,,,,,,,,,,,,,
Agent,Pietro Tini,Pietro Tini.md,Pietro Tini,hqMRV6EiJGbK,821938955981972668739,present_in_work,,,,,,,,,,,,,,,
