class,base_name,filename,label,id,n_id,property,instance_of_value,instance_of_label,inception_value,dissolved_value,location_value,location_label,official_website_value,catalog_identifier_value,member_value,interested_in_value,notable_work_value,related_to_value,motto_value,described_by_source_value,described_by_source_label
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,instance_of,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/TuhZnsrVW6Mf,academy,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,inception,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,dissolved,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,location,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/DrJq2JzVNMDV,Lecce,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,official_website,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,catalog_identifier,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,member,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,interested_in,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,notable_work,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,related_to,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,motto,,,,,,,,,,,,,,,
Organisation,Accademia dei Trasformati di Lecce,Accademia dei Trasformati di Lecce.md,Accademia dei Trasformati di Lecce,eTA8foucXHit,751994783612146863584,described_by_source,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UFWerrYngAnv,RePIM
