class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_reference,member_of_label,occupation_value,related_to_value,notable_work_value,interested_in_value,catalog_identifier_source,catalog_identifier_value
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,identifier,http://www.wikidata.org/entity/Q3606791,,,,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS,(Terzaghi 2017),,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/U7bj4Jz7sSuU,human,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Sw8LauTZqpYZ,male,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/J6uXo2g5NfHE,Roma,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nMAehWb3F4ta,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/EFo7AHHEorLS', 'label': '(Terzaghi 2017)'}]",Accademia degli Umoristi di Roma,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,occupation,,,,,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,related_to,,,,,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,notable_work,,,,,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,interested_in,,,,,,,,,,,,,,,,,,
Agent,Agostino Mascardi,,,Agostino Mascardi,Agostino Mascardi.md,MGhPMziKhkfk,397400650724676942441,catalog_identifier,,,,,,,,,,,,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/99XEoHF9WPng', 'label': 'Italian Academies Database'}",18202.0
