class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,gender_value,gender_label,work_location_value,work_location_label,member_of_value,member_of_start_date,member_of_reference,member_of_label,occupation_value,occupation_label,related_to_value,notable_work_value,interested_in_value,catalog_identifier_value,present_in_work_value
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,identifier,,,,,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV,(Cox 2020),,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/GB3DPeNtxqwb,human,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,gender,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KpnNUHk7FWq5,female,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,work_location,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/oGKLKS85gr5i,Palermo,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,member_of,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MrXrmuQzW93L,1571.0,"[{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/m8sBpVgB8XmV', 'label': '(Cox 2020)'}]",Accademia dei Riaccesi di Palermo,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,occupation,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4AB2zhiGQJga,poet,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,related_to,,,,,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,notable_work,,,,,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,interested_in,,,,,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,catalog_identifier,,,,,,,,,,,,,,,,,,,,
Agent,Marta Bonanno,,,Marta Bonanno,Marta Bonanno.md,6VHG9CGAhV2H,92415345494799969276,present_in_work,,,,,,,,,,,,,,,,,,,,
