class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,part_of_label,instrumentation_value,based_on_value,based_on_label,derivative_work_value,text_value
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,eNpyQVoitsqe,750431402593524224745,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F017470000010101_000000175200C,,,,,,,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,eNpyQVoitsqe,750431402593524224745,described_by_source,,,,,,,,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,eNpyQVoitsqe,750431402593524224745,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/KMtT3sEksj7N,madrigal,,,,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,eNpyQVoitsqe,750431402593524224745,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YVAbik9eKVEW', 'label': 'poet'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/kUiiaYvUfK7o,Isabella Andreini,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,eNpyQVoitsqe,750431402593524224745,contributor,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/h24pafkqqHsZ', 'label': 'composer'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/2fUdas8ce63V,Santi Orlandi,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,eNpyQVoitsqe,750431402593524224745,part_of,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/4Ytq8Khkkt65,Libro terzo de madrigali a cinque voci di Santi Orlandi,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,eNpyQVoitsqe,750431402593524224745,instrumentation,,,,,,,,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,eNpyQVoitsqe,750431402593524224745,based_on,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/MeBTbth3zXLq,Amorosa mia Clori,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,eNpyQVoitsqe,750431402593524224745,derivative_work,,,,,,,,,,,,,,
MusicComposition,Amorosa mia Clori (Orlandi),,,Amorosa mia Clori (Orlandi),Amorosa mia Clori (Orlandi).md,eNpyQVoitsqe,750431402593524224745,text,,,,,,,,,,,,,,
