class,label,description,aliases,base_name,filename,id,n_id,property,identifier_value,described_by_source_value,instance_of_value,instance_of_label,country_value,country_label
Place,Milano,,['Milan'],Milano,Milano.md,gLeh7vn7FH8w,790913805853804091972,identifier,http://www.wikidata.org/entity/Q490,,,,,
Place,Milano,,['Milan'],Milano,Milano.md,gLeh7vn7FH8w,790913805853804091972,described_by_source,,,,,,
Place,Milano,,['Milan'],Milano,Milano.md,gLeh7vn7FH8w,790913805853804091972,instance_of,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YQfHpGMNj5pE,city,,
Place,Milano,,['Milan'],Milano,Milano.md,gLeh7vn7FH8w,790913805853804091972,country,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/fCq9Z2C2Jbrg,Italy
