class,base_name,filename,label,id,n_id,property,identifier_value,described_by_source_value,described_by_source_label,instance_of_value,instance_of_label,contributor_role,contributor_value,contributor_label,part_of_value,based_on_value,derivative_work_value,subject_value,poetic_type_value,poetic_type_label,metre_value,metre_label,depicts_value,language_value,language_label,text_value
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,identifier,https://repim.itatti.harvard.edu/resource/?uri=http%3A%2F%2Frepim.unibo.it%2Fresource%2FWORK%2F043200000010101_000000159500C,,,,,,,,,,,,,,,,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,described_by_source,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Fd9ZVb3FMniL,(Stras 2018),,,,,,,,,,,,,,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,instance_of,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/Wvnraxko77uh,poem,,,,,,,,,,,,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,contributor,,,,,,"{'value': 'https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/UHzA5avQDdMJ', 'label': 'author'}",https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/9ENdykkNtf6X,anonymous,,,,,,,,,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,part_of,,,,,,,,,,,,,,,,,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,based_on,,,,,,,,,,,,,,,,,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,derivative_work,,,,,,,,,,,,,,,,,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,subject,,,,,,,,,,,,,,,,,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,poetic_type,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/LEWu9yEF83UP,madrigale,,,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/FPYzaHuDcPWK,hendecasyllable,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,metre,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/YZkrDgDqrsaF,heptasyllable,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,depicts,,,,,,,,,,,,,,,,,,,,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,language,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/accademia-degli-incompresi/entity/nKCWTNSaUJQU,Italian,
PoeticWork,Che pena si può dire,Che pena si può dire.md,Che pena si può dire,DkEUwXZXnYLV,242279518069340700552,text,,,,,,,,,,,,,,,,,,,,"Che pena si può dire
più grande che morire?
Maggior è la mia pena
e passa ogn'aspra sorte,
ché mai punto raffrena,
ma cresce ognor più forte;
io vivo, ed ogni dì provo la morte.
Dunque è maggior martire
chi vive in doglia e mai non può morire."
