yaml_property,inverse_property,opposite_of
has_part/value,part_of/value,FALSE
has_part/volume,part_of/volume,FALSE
has_part/pages,part_of/pages,FALSE
has_part/section,part_of/section,FALSE
part_of/value,has_part/value,FALSE
part_of/volume,has_part/volume,FALSE
part_of/pages,has_part/pages,FALSE
part_of/section,has_part/section,FALSE
based_on/value,derivative_work/value,FALSE
based_on/reference,derivative_work/reference,FALSE
based_on/note,derivative_work/note,FALSE
derivative_work/value,based_on/value,FALSE
derivative_work/reference,based_on/reference,FALSE
derivative_work/note,based_on/note,FALSE
related_to/value,related_to/value,FALSE
related_to/relationship,related_to/relationship,TRUE
related_to/reference,related_to/reference,FALSE
related_to/note,related_to/note,FALSE
notable_work,contributor/value,FALSE
member_of/value,member/value,FALSE
member_of/role,member/role,FALSE
member_of/start_date,member/start_date,FALSE
member_of/end_date,member/end_date,FALSE
member_of/reference,member/reference,FALSE
member/value,member_of/value,FALSE
member/role,member_of/role,FALSE
member/start_date,member_of/start_date,FALSE
member/end_date,member_of/end_date,FALSE
member/reference,member_of/reference,FALSE
present_in_work,depicts,FALSE
