yaml_property,namespace,property_name,property_URI,data_type,wd_pid,category
notable_work,wdt,notable work,http://www.wikidata.org/entity/P800,Entity,P800,statements
interested_in,,,,Statement,,statements
interested_in/value,wdt,interested in,http://www.wikidata.org/entity/P2650,Entity,,statements
interested_in/reference,dcterms,References,http://purl.org/dc/terms/references,Entity,,statements
poetic_type,pdc,poeticType,http://postdata.linhd.uned.es/ontology/postdata-core#poeticType,Entity,,statements
metre,wdt,used metre,http://www.wikidata.org/entity/P2551,Entity,P2551,statements
member_of,,,,Statement,,statements
member_of/value,schema,memberOf,https://schema.org/memberOf,Entity,,statements
member_of/role,schema,OrganizationRole,https://schema.org/OrganizationRole,Entity,,statements
member_of/start_date,schema,startDate,https://schema.org/startDate,String,,statements
member_of/end_date,schema,endDate,https://schema.org/endDate,String,,statements
member_of/reference,dcterms,References,http://purl.org/dc/terms/references,Entity,,statements
member,,,,Statement,,statements
member/value,schema,members,https://schema.org/members,Entity,,statements
member/role,schema,OrganizationRole,https://schema.org/OrganizationRole,Entity,,statements
member/start_date,schema,startDate,https://schema.org/startDate,String,,statements
member/end_date,schema,endDate,https://schema.org/endDate,String,,statements
member/reference,dcterms,References,http://purl.org/dc/terms/references,Entity,,statements
citation,dcterms,bibliographicCitation,http://purl.org/dc/terms/bibliographicCitation,String,,statements
bibtex,,,,FilePath,,assets
text,pdc,text,http://postdata.linhd.uned.es/ontology/postdata-core#text,String,,statements
markdown_content,schema,text,https://schema.org/text,String,,content
present_in_work,wdt,present in work,http://www.wikidata.org/entity/P1441,Entity,,statements
motto,,,,Statement,,statements
motto/value,wdt,motto,http://www.wikidata.org/entity/P1546,String,,statements
motto/reference,dcterms,References,http://purl.org/dc/terms/references,Entity,,statements
motto/note,bf,note,http://id.loc.gov/ontologies/bibframe/Note,String,,statements
used_by,,,,Statement,,statements
used_by/value,wdt,used by,http://www.wikidata.org/entity/P1535,Entity,,statements
used_by/reference,dcterms,References,http://purl.org/dc/terms/references,Entity,,statements
opposite_of,wdt,opposite of,http://www.wikidata.org/entity/P461,Entity,,statements
filename,,,,String,,metadata
n_id,,,,Integer,,metadata
id,,,,String,,metadata
base_name,,,,String,,metadata
