yaml_class,namespace,class,class_URI,color,default_image
Agent,dcterms,Agent,http://purl.org/dc/terms/Agent,#8e1a4a,https://raw.githubusercontent.com/NicholasCorniaOrpheus/accademia-degli-incompresi/main/data/vault/assets/icons/agent.png
Organisation,bf,Organization,http://id.loc.gov/ontologies/bibframe/Organization,#792B4F,https://raw.githubusercontent.com/NicholasCorniaOrpheus/accademia-degli-incompresi/main/data/vault/assets/icons/organisation.png
Place,bf,Place,http://id.loc.gov/ontologies/bibframe/Place,#BA430B,https://raw.githubusercontent.com/NicholasCorniaOrpheus/accademia-degli-incompresi/main/data/vault/assets/icons/place.png
Concept,skos,Concept,http://www.w3.org/2004/02/skos/core#Concept,#2B423C,https://raw.githubusercontent.com/NicholasCorniaOrpheus/accademia-degli-incompresi/main/data/vault/assets/icons/concept.png
NotatedMusic,bf,NotatedMusic,http://id.loc.gov/ontologies/bibframe/NotatedMusic,#DBECDC,https://raw.githubusercontent.com/NicholasCorniaOrpheus/accademia-degli-incompresi/main/data/vault/assets/icons/notated_music.png
Book,schema,Book,https://schema.org/Book,#9FB1B6,https://raw.githubusercontent.com/NicholasCorniaOrpheus/accademia-degli-incompresi/main/data/vault/assets/icons/book.png
MusicComposition,schema,MusicComposition,https://schema.org/MusicComposition,#4a6c6f,https://raw.githubusercontent.com/NicholasCorniaOrpheus/accademia-degli-incompresi/main/data/vault/assets/icons/music_composition.png
PoeticWork,pdc,PoeticWork,https://postdata.linhd.uned.es/ontology/postdata-core/documentation/index-en.html#PoeticWork,#5E605E,https://raw.githubusercontent.com/NicholasCorniaOrpheus/accademia-degli-incompresi/main/data/vault/assets/icons/poetic_work.png
BibliographicResource,dcterms,BibliographicResource,http://purl.org/dc/terms/BibliographicResource,#2B423C,https://raw.githubusercontent.com/NicholasCorniaOrpheus/accademia-degli-incompresi/main/data/vault/assets/icons/bibliographic_resource.png
Emblem,wdt,emblem,http://www.wikidata.org/entity/Q112110,#2B423C,https://raw.githubusercontent.com/NicholasCorniaOrpheus/accademia-degli-incompresi/main/data/vault/assets/icons/emblem.png
